epoch,accuracy,loss,val_accuracy,val_loss
1,0.39081043004989624,1.2168502807617188,0.5922406911849976,1.0204133987426758
2,0.5539165735244751,0.9397904872894287,0.6270784139633179,0.9777956008911133
3,0.5840963125228882,0.8056847453117371,0.6405383944511414,0.8738130331039429
4,0.5863004326820374,0.7843562960624695,0.6254948377609253,0.9056246876716614
5,0.6022380590438843,0.7495247721672058,0.6365795731544495,0.902915358543396
6,0.6086809039115906,0.7308623194694519,0.6429136991500854,0.8688258528709412
7,0.6083418130874634,0.724537193775177,0.6516231298446655,0.8617877960205078
8,0.6151237487792969,0.7138422727584839,0.6516231298446655,0.8251497149467468
9,0.6154628396034241,0.702286422252655,0.5748218297958374,0.9515814781188965
10,0.6183452010154724,0.6933163404464722,0.658748984336853,0.775641679763794
11,0.6236011981964111,0.6896560192108154,0.6571654677391052,0.814961314201355
12,0.6251271367073059,0.6744306683540344,0.6326207518577576,0.8642133474349976
13,0.6353000998497009,0.6685856580734253,0.6508313417434692,0.8568634986877441
14,0.6422516107559204,0.6640446186065674,0.6674584150314331,0.7802282571792603
15,0.6283485889434814,0.6613085269927979,0.6737925410270691,0.7633240818977356
